url,cantidad
http://enwww.festivaldeloja.com,-1
http://youtu.be/f5EAAi2hwv4?a,-1
http://bit.ly/2PBXJ0w,-1
http://bit.ly/2BdApxz,-1
http://goo.gl/QVkTnz,-1
http://bit.ly/2qx2Pwo,-1
http://bit.ly/2z4tODk,-1
http://bit.ly/festivalartesvivas,-1
http://www.corape.org.ec/loja-autoridades-de-gobierno-participaron-en-el-festival-de-artes-vivas-loja-2018/,-1
http://ecuadorinmediato.com/eiradio/,-1
http://ow.ly/KCDg30mCr9j,-1
http://www.festivaldeloja.com,-1
http://festivaldeloja.com,-1
http://bit.ly/2fT0oBP,-1
http://youtu.be/lps86vfjN68?a,-1
http://bit.ly/ArtesVivas-,-1
http://bit.ly/2zfPnkZ,-1
http://bit.ly/2yzXx7y,-1
http://bit.ly/2Dv9te8,-1
http://bit.ly/2OxSd9Y,-1
http://bit.ly/2FqBYMN,-1
http://bit.ly/2OQAA5w,-1
https://bit.ly/2B4Zrik,-1
https://bit.ly/2Kar1xC,-1
http://sncyt.com/2TgtZEU,-1
http://bit.ly/2T8acY0,-1
http://bit.ly/2RMip2G,-1
https://goo.gl/3jdAzk,7
https://goo.gl/St2cQn,7
https://goo.gl/iXgQvh,-1
http://m.facebook.com/SiguemeLojaOficial,-1
https://goo.gl/H5ewVW,7
https://goo.gl/6NJiT8,7
https://goo.gl/rQYWZ2,7
https://twitter.com/FestivalDeLoja/status/1059554498329395200,-1
https://twitter.com/VistoLoja/status/1063582802225102849,-1
https://twitter.com/Cultura_Ec/status/1063164261810212865,-1
https://twitter.com/DarioJaramilloP/status/1064505940664348672,-1
https://twitter.com/EducacionZ7_Ec/status/1063533149374824448,-1
https://goo.gl/hL3kuq,7
https://onlineradiobox.com/ec/exa/?cs=ec.exa&played=1,168
https://goo.gl/rxZ4ra,7
https://goo.gl/p6LYjL,7
https://goo.gl/x11DBf,7
https://goo.gl/d38uvo,7
https://goo.gl/wquC9G,7
https://www.elcomercio.com/tendencias/loja-fiesta-escenica-festival-artes.html,-1
https://www.elcomercio.com/tendencias/grupo-colmenita-loja-artes-vivas.html,-1
https://goo.gl/hbjTp3,7
https://goo.gl/RFCXC4,7
https://goo.gl/UbcQ1Q,7
https://goo.gl/Hj6quF,7
https://goo.gl/KZV2Gr,7
https://www.culturaypatrimonio.gob.ec/jovenes-aprenden-a-construir-titeres-en-el-fiavl-2018/,-1
https://vimeo.com/277739477,2
https://goo.gl/ZfMqCz,-1
https://twitter.com/FestivalDeLoja/status/1063841045887283200,-1
https://twitter.com/ARCSA_CZ7/status/1062409071310094336/photo/1,-1
https://www.culturaypatrimonio.gob.ec/gypsy-express-fue-la-obra-inaugural-del-festival-internacional-de-artes-viva-loja-2018/,-1
https://goo.gl/c7eLwS,7
https://www.culturaypatrimonio.gob.ec/la-colmenita-de-cuba-prendio-de-son-y-guaracha-el-fiavl/,-1
https://goo.gl/BXPzrd,-1
